식품군	식품명
어패류 및 그 제품	"대두어(흑연)"
어패류 및 그 제품	"도다리"
어패류 및 그 제품	"도도바리"
어패류 및 그 제품	"도루묵"
어패류 및 그 제품	"도치"
어패류 및 그 제품	"독가시치"
어패류 및 그 제품	"각시돔"
어패류 및 그 제품	"감성돔"
어패류 및 그 제품	"강담돔"
어패류 및 그 제품	"구갈돔"
어패류 및 그 제품	"금눈돔"
어패류 및 그 제품	"꼽새돔"
어패류 및 그 제품	"도화돔"
어패류 및 그 제품	"독돔"
어패류 및 그 제품	"돌돔"
어패류 및 그 제품	"백미돔"
어패류 및 그 제품	"범돔"
어패류 및 그 제품	"벵에돔"
어패류 및 그 제품	"뿔돔"
어패류 및 그 제품	"샛돔"
어패류 및 그 제품	"실꼬리돔"
어패류 및 그 제품	"실붉돔"
어패류 및 그 제품	"어름돔"
어패류 및 그 제품	"옥돔"
어패류 및 그 제품	"육동가리돔"
어패류 및 그 제품	"자리돔"
어패류 및 그 제품	"참돔"
어패류 및 그 제품	"호박돔"
어패류 및 그 제품	"혹돔"
어패류 및 그 제품	"황줄돔"
어패류 및 그 제품	"동사리"
어패류 및 그 제품	"동자개(빠가사리)"
어패류 및 그 제품	"둑중개"
어패류 및 그 제품	"드렁허리"
어패류 및 그 제품	"등가시치"
어패류 및 그 제품	"만새기"
어패류 및 그 제품	"망둑어(풀망둑)"
어패류 및 그 제품	"매퉁이"
어패류 및 그 제품	"메기"
어패류 및 그 제품	"멸치"
어패류 및 그 제품	"대멸치"
어패류 및 그 제품	"중멸치"
어패류 및 그 제품	"잔멸치"
어패류 및 그 제품	"멸치 육수"
어패류 및 그 제품	"멸치액젓"
어패류 및 그 제품	"멸치젓갈"
어패류 및 그 제품	"명태"
어패류 및 그 제품	"노가리"
어패류 및 그 제품	"동태"
어패류 및 그 제품	"먹태"
어패류 및 그 제품	"북어"
어패류 및 그 제품	"코다리"
어패류 및 그 제품	"황태"
어패류 및 그 제품	"창난젓"
어패류 및 그 제품	"명태알"
어패류 및 그 제품	"명란젓"
어패류 및 그 제품	"모래무지"
어패류 및 그 제품	"몽치다래"
어패류 및 그 제품	"문절망둑"
어패류 및 그 제품	"물치다래"
어패류 및 그 제품	"미꾸리"
어패류 및 그 제품	"민달고기"
어패류 및 그 제품	"민어"
어패류 및 그 제품	"민어알젓"
어패류 및 그 제품	"민태"
어패류 및 그 제품	"박대"
어패류 및 그 제품	"방어"
어패류 및 그 제품	"백연"
어패류 및 그 제품	"밴댕이"
어패류 및 그 제품	"밴댕이젓갈"
어패류 및 그 제품	"뱅어"
어패류 및 그 제품	"베도라치"
어패류 및 그 제품	"베로치"
어패류 및 그 제품	"베스"
어패류 및 그 제품	"벤자리"
어패류 및 그 제품	"병어"
어패류 및 그 제품	"보구치"
어패류 및 그 제품	"보리멸"
어패류 및 그 제품	"복어"
어패류 및 그 제품	"볼기우럭"
어패류 및 그 제품	"볼락"
어패류 및 그 제품	"부세"
어패류 및 그 제품	"부시리"
어패류 및 그 제품	"부"
어패류 및 그 제품	"붉바리"
어패류 및 그 제품	"붕어"
어패류 및 그 제품	"블루길"
어패류 및 그 제품	"빙어"
어패류 및 그 제품	"산천어"
어패류 및 그 제품	"살살치"
어패류 및 그 제품	"삼세"
어패류 및 그 제품	"삼치"
어패류 및 그 제품	"삼치젓갈"
어패류 및 그 제품	"가래상어"
어패류 및 그 제품	"곱상어"
어패류 및 그 제품	"까치상어"
어패류 및 그 제품	"돔발상어"
어패류 및 그 제품	"두툽상어"
어패류 및 그 제품	"망상어"
어패류 및 그 제품	"모조리상어"
어패류 및 그 제품	"별상어"
어패류 및 그 제품	"악상어"
어패류 및 그 제품	"은상어"
어패류 및 그 제품	"청새리상어"
어패류 및 그 제품	"흉상어"
어패류 및 그 제품	"상어지느러미"
어패류 및 그 제품	"상어알"
어패류 및 그 제품	"새다래"
어패류 및 그 제품	"샛멸"
어패류 및 그 제품	"서대"
어패류 및 그 제품	"성대"
어패류 및 그 제품	"송어"
어패류 및 그 제품	"송어젓갈"
어패류 및 그 제품	"숭어알"
어패류 및 그 제품	"쌍동가리"
어패류 및 그 제품	"쌍뿔달재"
어패류 및 그 제품	"쏘가리"
어패류 및 그 제품	"쏨뱅이"
어패류 및 그 제품	"쑤기미"
어패류 및 그 제품	"쑥감펭"
어패류 및 그 제품	"아귀"
어패류 및 그 제품	"아귀간"
어패류 및 그 제품	"아홉동가리"
어패류 및 그 제품	"애꼬치"
어패류 및 그 제품	"양미리"
어패류 및 그 제품	"양태,"
어패류 및 그 제품	"어묵"
어패류 및 그 제품	"어묵 국물"
어패류 및 그 제품	"얼룩통구멍"
어패류 및 그 제품	"여덟동가리"
어패류 및 그 제품	"연어"
어패류 및 그 제품	"연어훈제"
어패류 및 그 제품	"열쌍동가리"
어패류 및 그 제품	"우각바리"
어패류 및 그 제품	"웅어"
어패류 및 그 제품	"은어"
어패류 및 그 제품	"은어내장"
어패류 및 그 제품	"은어내장젓갈"
어패류 및 그 제품	"인상어"
어패류 및 그 제품	"임연수어"
어패류 및 그 제품	"잉어"
어패류 및 그 제품	"장갱이"
어패류 및 그 제품	"장문볼락"
어패류 및 그 제품	"갯장어"
어패류 및 그 제품	"먹장어"
어패류 및 그 제품	"뱀장어"
어패류 및 그 제품	"붕장어"
어패류 및 그 제품	"칠성장어"
어패류 및 그 제품	"전갱이"
어패류 및 그 제품	"전어"
어패류 및 그 제품	"전어젓갈"
어패류 및 그 제품	"점감펭"
어패류 및 그 제품	"점줄우럭"
어패류 및 그 제품	"정어리"
어패류 및 그 제품	"조기(참조기)"
어패류 및 그 제품	"조기(굴비)"
어패류 및 그 제품	"조기젓갈"
어패류 및 그 제품	"준치"
어패류 및 그 제품	"쥐치"
어패류 및 그 제품	"쥐치포(쥐포)"
어패류 및 그 제품	"참마자"
어패류 및 그 제품	"청새치"
어패류 및 그 제품	"청어"
어패류 및 그 제품	"청어알"
어패류 및 그 제품	"초어"
어패류 및 그 제품	"통치"
어패류 및 그 제품	"투라치"
어패류 및 그 제품	"틸라피아"
어패류 및 그 제품	"푸렁통구멍"
어패류 및 그 제품	"풀반지"
어패류 및 그 제품	"피라미"
어패류 및 그 제품	"학공치"
어패류 및 그 제품	"향어"
어패류 및 그 제품	"홍감펭"
어패류 및 그 제품	"홍어"
어패류 및 그 제품	"홍치"
어패류 및 그 제품	"황매퉁이"
어패류 및 그 제품	"황새치"
어패류 및 그 제품	"황어"
어패류 및 그 제품	"횟대"
어패류 및 그 제품	"히메치"
어패류 및 그 제품	"가리비"
어패류 및 그 제품	"가리비관자"
어패류 및 그 제품	"각시수랑"
어패류 및 그 제품	"갈색고리돼지고둥"
어패류 및 그 제품	"갈색띠매물고둥"
어패류 및 그 제품	"관절매물고둥(보라골뱅이)"
어패류 및 그 제품	"긴고둥(긴뿔고둥)"
어패류 및 그 제품	"나팔고둥"
어패류 및 그 제품	"두드럭고둥"
어패류 및 그 제품	"매끈이고둥"
어패류 및 그 제품	"물레고둥"
어패류 및 그 제품	"민허리돼지고둥"
어패류 및 그 제품	"보말고둥"
어패류 및 그 제품	"비단고둥"
